method_id,task_id,robot_id,search_mode,breaking_cost,success_rate,trials,perturbation,active_axes,notes
nominal,push_block,franka_panda,random,1.0946957594504192,0.5672611797998761,200,speed_cap_scale=0.615530286340032;calibration_offset_mm=22.115;obstacle_clearance_cm=7.053,"speed_cap_scale,calibration_offset_mm,obstacle_clearance_cm",no_break_found_returned_lowest_success
nominal,push_block,franka_panda,one_axis,1.0,0.7609398907485072,49,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,push_block,franka_panda,grid,1.0,0.7609398907485072,161,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,push_block,franka_panda,bodybreak,1.1032926314828293,0.641707070029155,200,action_noise_std=0.025314971976551054;speed_cap_scale=0.9175819299590129;controller_rate_scale=0.32798073939542705,"action_noise_std,speed_cap_scale,controller_rate_scale",no_break_found_returned_lowest_success
nominal,push_block,widowx250_like,random,0.9489240778636893,0.46081606900402494,200,latency_ms=129.0;speed_cap_scale=0.5120387195491511;calibration_offset_mm=12.405,"latency_ms,speed_cap_scale,calibration_offset_mm",found_break
nominal,push_block,widowx250_like,one_axis,1.0,0.5476706079933165,49,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,push_block,widowx250_like,grid,1.0,0.5476706079933165,161,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,push_block,widowx250_like,bodybreak,1.0111413587362248,0.47926676168893617,200,calibration_offset_mm=31.608;camera_shift_px=36.384,"calibration_offset_mm,camera_shift_px",found_break
nominal,push_block,so101_urdf,random,0.6909116296943802,0.4620560555552187,200,latency_ms=131.8;joint_range_scale=0.864418043308025;calibration_offset_mm=10.204,"latency_ms,joint_range_scale,calibration_offset_mm",found_break
nominal,push_block,so101_urdf,one_axis,1.0,0.38512584180052456,49,calibration_offset_mm=35,calibration_offset_mm,found_break
nominal,push_block,so101_urdf,grid,1.0,0.38512584180052456,161,calibration_offset_mm=35,calibration_offset_mm,found_break
nominal,push_block,so101_urdf,bodybreak,0.813720703125,0.49985867292714076,200,calibration_offset_mm=28.480224609375,calibration_offset_mm,found_break
nominal,press_button,franka_panda,random,1.0216649941837541,0.4726186239560181,200,latency_ms=15.5;calibration_offset_mm=23.061;camera_shift_px=62.251,"latency_ms,calibration_offset_mm,camera_shift_px",found_break
nominal,press_button,franka_panda,one_axis,1.0,0.5939900566298013,49,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,press_button,franka_panda,grid,1.0,0.5939900566298013,161,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,press_button,franka_panda,bodybreak,1.0,0.5939900566298013,200,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,press_button,widowx250_like,random,0.4957068936454075,0.49697884802646297,200,calibration_offset_mm=12.617;camera_shift_px=20.305;controller_rate_scale=0.8300383680383222,"calibration_offset_mm,camera_shift_px,controller_rate_scale",found_break
nominal,press_button,widowx250_like,one_axis,1.0,0.45621398474021935,49,action_noise_std=0.04,action_noise_std,found_break
nominal,press_button,widowx250_like,grid,1.0,0.45621398474021935,161,action_noise_std=0.04,action_noise_std,found_break
nominal,press_button,widowx250_like,bodybreak,0.917236328125,0.49999740249820324,200,action_noise_std=0.036689453125,action_noise_std,found_break
nominal,press_button,so101_urdf,random,0.39379003115803285,0.4673269062638742,200,latency_ms=37.7;calibration_offset_mm=12.245;controller_rate_scale=0.9329372720965983,"latency_ms,calibration_offset_mm,controller_rate_scale",found_break
nominal,press_button,so101_urdf,one_axis,0.5714285714285714,0.47953840172978257,49,calibration_offset_mm=20,calibration_offset_mm,found_break
nominal,press_button,so101_urdf,grid,0.5714285714285714,0.47953840172978257,161,calibration_offset_mm=20,calibration_offset_mm,found_break
nominal,press_button,so101_urdf,bodybreak,0.5474330357142857,0.4998863220527766,200,calibration_offset_mm=19.16015625,calibration_offset_mm,found_break
nominal,slide_track,franka_panda,random,1.1364494503485878,0.530280482140414,200,action_noise_std=0.029774279468178563;speed_cap_scale=0.4065519931152264;camera_shift_px=10.944,"action_noise_std,speed_cap_scale,camera_shift_px",no_break_found_returned_lowest_success
nominal,slide_track,franka_panda,one_axis,1.0,0.6867964319069954,49,action_noise_std=0.04,action_noise_std,no_break_found_returned_lowest_success
nominal,slide_track,franka_panda,grid,1.0,0.6867964319069954,161,action_noise_std=0.04,action_noise_std,no_break_found_returned_lowest_success
nominal,slide_track,franka_panda,bodybreak,1.0358631963937477,0.613742524993919,200,joint_range_scale=0.784699792282401;acceleration_cap_scale=0.8132683475442177;calibration_offset_mm=30.771,"joint_range_scale,acceleration_cap_scale,calibration_offset_mm",no_break_found_returned_lowest_success
nominal,slide_track,widowx250_like,random,0.6796769247074416,0.4578012054368185,200,action_noise_std=0.017023163189059366;gripper_limit_scale=0.8181429211635047;calibration_offset_mm=15.215,"action_noise_std,gripper_limit_scale,calibration_offset_mm",found_break
nominal,slide_track,widowx250_like,one_axis,1.0,0.48221119332092677,49,action_noise_std=0.04,action_noise_std,found_break
nominal,slide_track,widowx250_like,grid,1.0,0.48221119332092677,161,action_noise_std=0.04,action_noise_std,found_break
nominal,slide_track,widowx250_like,bodybreak,0.963134765625,0.4999786235296254,200,action_noise_std=0.038525390625,action_noise_std,found_break
nominal,slide_track,so101_urdf,random,0.5642601919674353,0.4648895151126245,200,latency_ms=99.5;controller_rate_scale=0.7708139721683303;obstacle_clearance_cm=2.305,"latency_ms,controller_rate_scale,obstacle_clearance_cm",found_break
nominal,slide_track,so101_urdf,one_axis,1.0,0.49810131575547245,49,latency_ms=240,latency_ms,found_break
nominal,slide_track,so101_urdf,grid,1.0,0.49810131575547245,161,latency_ms=240,latency_ms,found_break
nominal,slide_track,so101_urdf,bodybreak,0.995849609375,0.49995026674273596,200,latency_ms=239.00390625,latency_ms,found_break
nominal,pick_place_bin,franka_panda,random,0.7913192810375239,0.4959840353311173,200,joint_range_scale=0.7810476888262168;gripper_limit_scale=0.6255668774115863,"joint_range_scale,gripper_limit_scale",found_break
nominal,pick_place_bin,franka_panda,one_axis,1.0,0.5161109860490216,49,physical_gripper_restriction_mm=20,physical_gripper_restriction_mm,no_break_found_returned_lowest_success
nominal,pick_place_bin,franka_panda,grid,0.9428090415820635,0.4219576850077499,161,joint_range_scale=0.7;gripper_limit_scale=0.6,"joint_range_scale,gripper_limit_scale",found_break
nominal,pick_place_bin,franka_panda,bodybreak,0.7929631709595235,0.49991609679319016,200,joint_range_scale=0.7476806640625;gripper_limit_scale=0.66357421875,"joint_range_scale,gripper_limit_scale",found_break
nominal,pick_place_bin,widowx250_like,random,0.4846623640714005,0.4364745554283165,200,latency_ms=76.9;action_noise_std=0.002327458483239076;physical_gripper_restriction_mm=7.179,"latency_ms,action_noise_std,physical_gripper_restriction_mm",found_break
nominal,pick_place_bin,widowx250_like,one_axis,0.6666666666666667,0.46825591697576874,49,gripper_limit_scale=0.6,gripper_limit_scale,found_break
nominal,pick_place_bin,widowx250_like,grid,0.4714045207910317,0.469033048544091,161,joint_range_scale=0.85;gripper_limit_scale=0.8,"joint_range_scale,gripper_limit_scale",found_break
nominal,pick_place_bin,widowx250_like,bodybreak,0.4327346186948924,0.49991940648826677,200,joint_range_scale=0.8623046875;gripper_limit_scale=0.81640625,"joint_range_scale,gripper_limit_scale",found_break
nominal,pick_place_bin,so101_urdf,random,0.5268769110778049,0.34987553557780293,200,gripper_limit_scale=0.743817853483737;physical_gripper_restriction_mm=6.174,"gripper_limit_scale,physical_gripper_restriction_mm",found_break
nominal,pick_place_bin,so101_urdf,one_axis,0.6666666666666667,0.4625496235271811,49,gripper_limit_scale=0.6,gripper_limit_scale,found_break
nominal,pick_place_bin,so101_urdf,grid,0.43902592653775646,0.4639769043149238,161,gripper_limit_scale=0.8;calibration_offset_mm=10,"gripper_limit_scale,calibration_offset_mm",found_break
nominal,pick_place_bin,so101_urdf,bodybreak,0.39561638057882303,0.49994118549006095,199,gripper_limit_scale=0.819775390625;calibration_offset_mm=9.01123046875,"gripper_limit_scale,calibration_offset_mm",found_break
nominal,pull_ring,franka_panda,random,1.034120038654074,0.5285873361690714,200,joint_range_scale=0.7329234679032899;gripper_limit_scale=0.8304232153599006;acceleration_cap_scale=0.44119153403499967,"joint_range_scale,gripper_limit_scale,acceleration_cap_scale",no_break_found_returned_lowest_success
nominal,pull_ring,franka_panda,one_axis,0.9999999999999999,0.7059739489103031,49,joint_range_scale=0.55,joint_range_scale,no_break_found_returned_lowest_success
nominal,pull_ring,franka_panda,grid,0.977061168032533,0.6083125251005113,161,joint_range_scale=0.7;acceleration_cap_scale=0.5,"joint_range_scale,acceleration_cap_scale",no_break_found_returned_lowest_success
nominal,pull_ring,franka_panda,bodybreak,0.8282205965851733,0.5971985468256976,200,latency_ms=84.0;joint_range_scale=0.7282612995065161;controller_rate_scale=0.6655993198139042,"latency_ms,joint_range_scale,controller_rate_scale",no_break_found_returned_lowest_success
nominal,pull_ring,widowx250_like,random,0.8311852417663333,0.4800095646127774,200,joint_range_scale=0.6524504986460821;obstacle_clearance_cm=3.072,"joint_range_scale,obstacle_clearance_cm",found_break
nominal,pull_ring,widowx250_like,one_axis,0.9999999999999999,0.5003658775441768,49,joint_range_scale=0.55,joint_range_scale,no_break_found_returned_lowest_success
nominal,pull_ring,widowx250_like,grid,0.7563038178223139,0.49549999911545856,161,joint_range_scale=0.7;speed_cap_scale=0.75,"joint_range_scale,speed_cap_scale",found_break
nominal,pull_ring,widowx250_like,bodybreak,0.7476255269439818,0.49992595573502285,200,joint_range_scale=0.7034423828124999;speed_cap_scale=0.75286865234375,"joint_range_scale,speed_cap_scale",found_break
nominal,pull_ring,so101_urdf,random,0.5373502727526367,0.4839457594276189,200,joint_range_scale=0.8443699781512133;speed_cap_scale=0.7795712615998036;controller_rate_scale=0.8016026325933859,"joint_range_scale,speed_cap_scale,controller_rate_scale",found_break
nominal,pull_ring,so101_urdf,one_axis,0.9999999999999999,0.4441708322473054,49,joint_range_scale=0.55,joint_range_scale,found_break
nominal,pull_ring,so101_urdf,grid,0.7120003121097943,0.4893489242639601,161,action_noise_std=0.01;joint_range_scale=0.7,"action_noise_std,joint_range_scale",found_break
nominal,pull_ring,so101_urdf,bodybreak,0.6918362407707475,0.4999185561464922,200,action_noise_std=0.009716796875000001;joint_range_scale=0.70849609375,"action_noise_std,joint_range_scale",found_break
nominal,constrained_place,franka_panda,random,0.5862053074322465,0.36184397964267234,200,calibration_offset_mm=16.98;camera_shift_px=16.946;obstacle_clearance_cm=2.518,"calibration_offset_mm,camera_shift_px,obstacle_clearance_cm",found_break
nominal,constrained_place,franka_panda,one_axis,1.0,0.4915482967523174,49,calibration_offset_mm=35,calibration_offset_mm,found_break
nominal,constrained_place,franka_panda,grid,0.8333333333333334,0.4972032708269899,161,joint_range_scale=0.7;camera_shift_px=40,"joint_range_scale,camera_shift_px",found_break
nominal,constrained_place,franka_panda,bodybreak,0.8274332682291667,0.4999316860569602,200,joint_range_scale=0.7021240234374999;camera_shift_px=39.716796875,"joint_range_scale,camera_shift_px",found_break
nominal,constrained_place,widowx250_like,random,0.32462633589488327,0.4748146097843735,200,joint_range_scale=0.9564352174280466;controller_rate_scale=0.8091523050843853;obstacle_clearance_cm=1.768,"joint_range_scale,controller_rate_scale,obstacle_clearance_cm",found_break
nominal,constrained_place,widowx250_like,one_axis,0.9999999999999999,0.3499810314732045,49,joint_range_scale=0.55,joint_range_scale,found_break
nominal,constrained_place,widowx250_like,grid,0.4390259265377566,0.4553089415893684,161,joint_range_scale=0.85;calibration_offset_mm=10,"joint_range_scale,calibration_offset_mm",found_break
nominal,constrained_place,widowx250_like,bodybreak,0.3845764219769214,0.4999878589621693,200,joint_range_scale=0.868603515625;calibration_offset_mm=8.759765625,"joint_range_scale,calibration_offset_mm",found_break
nominal,constrained_place,so101_urdf,random,0.3807809211300354,0.44277207276362995,200,action_noise_std=0.011149236832943778;calibration_offset_mm=9.08,"action_noise_std,calibration_offset_mm",found_break
nominal,constrained_place,so101_urdf,one_axis,0.5,0.4768172060423348,49,obstacle_clearance_cm=5,obstacle_clearance_cm,found_break
nominal,constrained_place,so101_urdf,grid,0.36265586218399565,0.4865683400864308,161,joint_range_scale=0.85;calibration_offset_mm=5,"joint_range_scale,calibration_offset_mm",found_break
nominal,constrained_place,so101_urdf,bodybreak,0.34716153213463063,0.4999333374306082,199,joint_range_scale=0.85640869140625;calibration_offset_mm=4.786376953125,"joint_range_scale,calibration_offset_mm",found_break
nominal,tool_push,franka_panda,random,1.0866086256330703,0.46963268339694675,200,calibration_offset_mm=25.327;controller_rate_scale=0.854659392887795;physical_gripper_restriction_mm=15.742,"calibration_offset_mm,controller_rate_scale,physical_gripper_restriction_mm",found_break
nominal,tool_push,franka_panda,one_axis,1.0,0.7069094751236822,49,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,tool_push,franka_panda,grid,1.0,0.7069094751236822,161,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,tool_push,franka_panda,bodybreak,1.0866086256330703,0.46963268339694675,200,calibration_offset_mm=25.327;controller_rate_scale=0.854659392887795;physical_gripper_restriction_mm=15.742,"calibration_offset_mm,controller_rate_scale,physical_gripper_restriction_mm",found_break
nominal,tool_push,widowx250_like,random,0.73427017456253,0.46761683582343805,200,speed_cap_scale=0.6933592998173218;tool_extension_cm=9.851;obstacle_clearance_cm=3.235,"speed_cap_scale,tool_extension_cm,obstacle_clearance_cm",found_break
nominal,tool_push,widowx250_like,one_axis,1.0,0.5046252996877741,49,physical_gripper_restriction_mm=20,physical_gripper_restriction_mm,no_break_found_returned_lowest_success
nominal,tool_push,widowx250_like,grid,1.0,0.5046252996877741,161,physical_gripper_restriction_mm=20,physical_gripper_restriction_mm,no_break_found_returned_lowest_success
nominal,tool_push,widowx250_like,bodybreak,1.0527910706432784,0.4806084300572993,200,action_noise_std=0.022287373600480328;speed_cap_scale=0.7178689981100809;acceleration_cap_scale=0.44198541586113016,"action_noise_std,speed_cap_scale,acceleration_cap_scale",found_break
nominal,tool_push,so101_urdf,random,0.5612392315736815,0.49844435553414895,200,speed_cap_scale=0.8375274929314684;tool_extension_cm=7.769;obstacle_clearance_cm=3.32,"speed_cap_scale,tool_extension_cm,obstacle_clearance_cm",found_break
nominal,tool_push,so101_urdf,one_axis,1.0,0.3943799344638136,49,calibration_offset_mm=35,calibration_offset_mm,found_break
nominal,tool_push,so101_urdf,grid,1.0,0.3943799344638136,161,calibration_offset_mm=35,calibration_offset_mm,found_break
nominal,tool_push,so101_urdf,bodybreak,0.79833984375,0.4998898531972011,200,calibration_offset_mm=27.94189453125,calibration_offset_mm,found_break
nominal,rotate_object,franka_panda,random,0.7600918231262842,0.4889555562074382,200,action_noise_std=0.022269259509096875;camera_shift_px=33.977;physical_gripper_restriction_mm=5.913,"action_noise_std,camera_shift_px,physical_gripper_restriction_mm",found_break
nominal,rotate_object,franka_panda,one_axis,1.0,0.5946002614550316,49,action_noise_std=0.04,action_noise_std,no_break_found_returned_lowest_success
nominal,rotate_object,franka_panda,grid,1.2018504251546631,0.5738110645386895,161,gripper_limit_scale=0.6;camera_shift_px=80,"gripper_limit_scale,camera_shift_px",no_break_found_returned_lowest_success
nominal,rotate_object,franka_panda,bodybreak,0.806015004283975,0.4720839742653134,200,latency_ms=156.1;gripper_limit_scale=0.8494146987641774;controller_rate_scale=0.6966162910221014,"latency_ms,gripper_limit_scale,controller_rate_scale",found_break
nominal,rotate_object,widowx250_like,random,0.5755333372666708,0.4279394541253762,200,gripper_limit_scale=0.7633595893979388;physical_gripper_restriction_mm=8.383,"gripper_limit_scale,physical_gripper_restriction_mm",found_break
nominal,rotate_object,widowx250_like,one_axis,1.0,0.3889324695649519,49,action_noise_std=0.04,action_noise_std,found_break
nominal,rotate_object,widowx250_like,grid,0.6782841915041545,0.44156972251137505,161,action_noise_std=0.005;gripper_limit_scale=0.6,"action_noise_std,gripper_limit_scale",found_break
nominal,rotate_object,widowx250_like,bodybreak,0.5787605589128466,0.49998487900954613,200,action_noise_std=0.004266357421875;gripper_limit_scale=0.65869140625,"action_noise_std,gripper_limit_scale",found_break
nominal,rotate_object,so101_urdf,random,0.45238786862127944,0.4628675734362894,200,gripper_limit_scale=0.7567449957074088;acceleration_cap_scale=0.9046390659005686;physical_gripper_restriction_mm=2.948,"gripper_limit_scale,acceleration_cap_scale,physical_gripper_restriction_mm",found_break
nominal,rotate_object,so101_urdf,one_axis,0.7,0.4599082951769013,49,friction_surface=low_friction,friction_surface,found_break
nominal,rotate_object,so101_urdf,grid,0.43902592653775646,0.4919043701796075,161,gripper_limit_scale=0.8;calibration_offset_mm=10,"gripper_limit_scale,calibration_offset_mm",found_break
nominal,rotate_object,so101_urdf,bodybreak,0.4283075201281433,0.49999987089018033,200,gripper_limit_scale=0.8048828125;calibration_offset_mm=9.755859375,"gripper_limit_scale,calibration_offset_mm",found_break
human_effect_prior,push_block,franka_panda,random,0.9791960143963863,0.5887303596147894,200,action_noise_std=0.017019801016713722;controller_rate_scale=0.37139285312735204;obstacle_clearance_cm=2.744,"action_noise_std,controller_rate_scale,obstacle_clearance_cm",no_break_found_returned_lowest_success
human_effect_prior,push_block,franka_panda,one_axis,1.0,0.6805507625662932,49,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
human_effect_prior,push_block,franka_panda,grid,1.0,0.6805507625662932,161,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
human_effect_prior,push_block,franka_panda,bodybreak,1.0,0.6805507625662932,200,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
human_effect_prior,push_block,widowx250_like,random,0.6932752575305725,0.4348500214017746,200,calibration_offset_mm=22.81;tool_extension_cm=2.525;obstacle_clearance_cm=1.999,"calibration_offset_mm,tool_extension_cm,obstacle_clearance_cm",found_break
human_effect_prior,push_block,widowx250_like,one_axis,1.0,0.43481499374630317,49,calibration_offset_mm=35,calibration_offset_mm,found_break
human_effect_prior,push_block,widowx250_like,grid,1.0,0.43481499374630317,161,calibration_offset_mm=35,calibration_offset_mm,found_break
human_effect_prior,push_block,widowx250_like,bodybreak,0.88623046875,0.49994150123174924,200,calibration_offset_mm=31.01806640625,calibration_offset_mm,found_break
human_effect_prior,push_block,so101_urdf,random,0.6391724608178353,0.4014722615371585,200,joint_range_scale=0.9127627944570802;calibration_offset_mm=20.332;camera_shift_px=14.642,"joint_range_scale,calibration_offset_mm,camera_shift_px",found_break
human_effect_prior,push_block,so101_urdf,one_axis,1.0,0.49878253966987884,49,latency_ms=240,latency_ms,found_break
human_effect_prior,push_block,so101_urdf,grid,1.0,0.49878253966987884,161,latency_ms=240,latency_ms,found_break
human_effect_prior,push_block,so101_urdf,bodybreak,0.99755859375,0.49997319888494784,200,latency_ms=239.4140625,latency_ms,found_break
human_effect_prior,press_button,franka_panda,random,0.8578334496549658,0.4232208239323995,200,latency_ms=54.6;calibration_offset_mm=27.296;tool_extension_cm=5.51,"latency_ms,calibration_offset_mm,tool_extension_cm",found_break
human_effect_prior,press_button,franka_panda,one_axis,1.0,0.4790391863022422,49,calibration_offset_mm=35,calibration_offset_mm,found_break
human_effect_prior,press_button,franka_panda,grid,1.0,0.4790391863022422,161,calibration_offset_mm=35,calibration_offset_mm,found_break
human_effect_prior,press_button,franka_panda,bodybreak,0.96337890625,0.49991114421292004,200,calibration_offset_mm=33.71826171875,calibration_offset_mm,found_break
human_effect_prior,press_button,widowx250_like,random,0.5969064304522842,0.4420965225762136,200,calibration_offset_mm=17.13;controller_rate_scale=0.9627382078580493;payload_g=169.033,"calibration_offset_mm,controller_rate_scale,payload_g",found_break
human_effect_prior,press_button,widowx250_like,one_axis,1.0,0.3932265480931265,49,action_noise_std=0.04,action_noise_std,found_break
human_effect_prior,press_button,widowx250_like,grid,0.7253117243679913,0.46849722719932024,161,joint_range_scale=0.7;calibration_offset_mm=10,"joint_range_scale,calibration_offset_mm",found_break
human_effect_prior,press_button,widowx250_like,bodybreak,0.674844477921488,0.4999862278655534,200,joint_range_scale=0.7208740234375;calibration_offset_mm=9.30419921875,"joint_range_scale,calibration_offset_mm",found_break
human_effect_prior,press_button,so101_urdf,random,0.4902216859652842,0.32126065121933345,200,calibration_offset_mm=9.311;controller_rate_scale=0.8525589640803669;obstacle_clearance_cm=3.618,"calibration_offset_mm,controller_rate_scale,obstacle_clearance_cm",found_break
human_effect_prior,press_button,so101_urdf,one_axis,0.5714285714285714,0.3742418836078567,49,calibration_offset_mm=20,calibration_offset_mm,found_break
human_effect_prior,press_button,so101_urdf,grid,0.37964806474052315,0.45889388760014405,161,action_noise_std=0.01;calibration_offset_mm=10,"action_noise_std,calibration_offset_mm",found_break
human_effect_prior,press_button,so101_urdf,bodybreak,0.3443341212185165,0.49991848637656,200,action_noise_std=0.00906982421875;calibration_offset_mm=9.06982421875,"action_noise_std,calibration_offset_mm",found_break
human_effect_prior,slide_track,franka_panda,random,1.2272013918120215,0.4209580229147663,200,action_noise_std=0.03390393806505061;speed_cap_scale=0.6072038594901943;tool_extension_cm=13.751,"action_noise_std,speed_cap_scale,tool_extension_cm",found_break
human_effect_prior,slide_track,franka_panda,one_axis,1.0,0.6377791366159307,49,action_noise_std=0.04,action_noise_std,no_break_found_returned_lowest_success
human_effect_prior,slide_track,franka_panda,grid,1.0,0.6377791366159307,161,action_noise_std=0.04,action_noise_std,no_break_found_returned_lowest_success
human_effect_prior,slide_track,franka_panda,bodybreak,0.9916388357027575,0.5272002015249329,200,action_noise_std=0.02100992579774615;gripper_limit_scale=0.7236799783234088;speed_cap_scale=0.5073218278258713,"action_noise_std,gripper_limit_scale,speed_cap_scale",no_break_found_returned_lowest_success
human_effect_prior,slide_track,widowx250_like,random,0.6449595376894189,0.4306283583871308,200,action_noise_std=0.01692138047639154;calibration_offset_mm=13.836;tool_extension_cm=5.683,"action_noise_std,calibration_offset_mm,tool_extension_cm",found_break
human_effect_prior,slide_track,widowx250_like,one_axis,1.0,0.427506405829281,49,latency_ms=240,latency_ms,found_break
human_effect_prior,slide_track,widowx250_like,grid,0.7882354932022309,0.4868761467338194,161,latency_ms=80;acceleration_cap_scale=0.5,"latency_ms,acceleration_cap_scale",found_break
human_effect_prior,slide_track,widowx250_like,bodybreak,0.7634106937337037,0.4999107232315578,200,latency_ms=77.48046875;acceleration_cap_scale=0.5157470703125,"latency_ms,acceleration_cap_scale",found_break
human_effect_prior,slide_track,so101_urdf,random,0.5262775358754517,0.48630531421861134,200,action_noise_std=0.01407119899873069;controller_rate_scale=0.706426111748873,"action_noise_std,controller_rate_scale",found_break
human_effect_prior,slide_track,so101_urdf,one_axis,1.0,0.3647078175957578,49,latency_ms=240,latency_ms,found_break
human_effect_prior,slide_track,so101_urdf,grid,0.7567721464434676,0.4760841415041698,161,action_noise_std=0.01;acceleration_cap_scale=0.5,"action_noise_std,acceleration_cap_scale",found_break
human_effect_prior,slide_track,so101_urdf,bodybreak,0.7122452696629804,0.49990475505204,200,action_noise_std=0.009411621093750001;acceleration_cap_scale=0.5294189453125,"action_noise_std,acceleration_cap_scale",found_break
human_effect_prior,pick_place_bin,franka_panda,random,0.7527374018598857,0.4934077188136392,200,gripper_limit_scale=0.634957591495731;payload_g=221.618,"gripper_limit_scale,payload_g",found_break
human_effect_prior,pick_place_bin,franka_panda,one_axis,1.0,0.49087610455919806,49,gripper_limit_scale=0.4,gripper_limit_scale,found_break
human_effect_prior,pick_place_bin,franka_panda,grid,0.7253117243679913,0.4838088689075221,161,gripper_limit_scale=0.6;calibration_offset_mm=10,"gripper_limit_scale,calibration_offset_mm",found_break
human_effect_prior,pick_place_bin,franka_panda,bodybreak,0.6968021570771596,0.4999442533087891,200,gripper_limit_scale=0.61572265625;calibration_offset_mm=9.60693359375,"gripper_limit_scale,calibration_offset_mm",found_break
human_effect_prior,pick_place_bin,widowx250_like,random,0.44149647577868617,0.46737817601740916,200,camera_shift_px=17.59;physical_gripper_restriction_mm=7.657,"camera_shift_px,physical_gripper_restriction_mm",found_break
human_effect_prior,pick_place_bin,widowx250_like,one_axis,0.5,0.4891156978476091,49,physical_gripper_restriction_mm=10,physical_gripper_restriction_mm,found_break
human_effect_prior,pick_place_bin,widowx250_like,grid,0.4166666666666666,0.4913177099137576,161,action_noise_std=0.01;gripper_limit_scale=0.8,"action_noise_std,gripper_limit_scale",found_break
human_effect_prior,pick_place_bin,widowx250_like,bodybreak,0.40598551432291663,0.4999546640511583,199,action_noise_std=0.009743652343750001;gripper_limit_scale=0.805126953125,"action_noise_std,gripper_limit_scale",found_break
human_effect_prior,pick_place_bin,so101_urdf,random,0.38495506633365595,0.4791609630027334,200,action_noise_std=0.005573807401903933;physical_gripper_restriction_mm=7.177,"action_noise_std,physical_gripper_restriction_mm",found_break
human_effect_prior,pick_place_bin,so101_urdf,one_axis,0.5,0.4932138012818553,49,physical_gripper_restriction_mm=10,physical_gripper_restriction_mm,found_break
human_effect_prior,pick_place_bin,so101_urdf,grid,0.3626558621839956,0.4921946730237577,161,gripper_limit_scale=0.8;calibration_offset_mm=5,"gripper_limit_scale,calibration_offset_mm",found_break
human_effect_prior,pick_place_bin,so101_urdf,bodybreak,0.3538019592986441,0.4999855191991209,200,gripper_limit_scale=0.8048828125;calibration_offset_mm=4.8779296875,"gripper_limit_scale,calibration_offset_mm",found_break
