baseline_method,bucket,bodyshield_success_rate,baseline_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,bodyshield_n,baseline_n,bodyshield_execution_time_s,baseline_execution_time_s,delta_execution_time_s,bodyshield_path_length_m,baseline_path_length_m,delta_path_length_m
domain_randomization,heldout,0.7918201754385965,0.7423684210526316,0.04945175438596494,0.04397455257964487,0.054928956192285015,45600,45600,2.2517894736842115,2.111052631578948,0.14073684210526327,0.48729999999999984,0.45685263157894734,0.0304473684210525
domain_randomization,nominal,0.85875,0.84375,0.015000000000000013,-0.0051291767404928745,0.0351291767404929,2400,2400,2.2400000000000007,2.1000000000000005,0.14000000000000012,0.47040000000000004,0.44099999999999984,0.029400000000000204
domain_randomization,seen,0.8003720238095238,0.748452380952381,0.05191964285714279,0.04745906581735857,0.05638021989692701,67200,67200,2.439714285714286,2.28725,0.15246428571428616,0.4761642857142856,0.4463964285714285,0.029767857142857068
epec,heldout,0.7918201754385965,0.753048245614035,0.03877192982456146,0.03333557082305684,0.044208288826066075,45600,45600,2.2517894736842115,2.3724210526315788,-0.12063157894736731,0.48729999999999984,0.5134105263157893,-0.026110526315789473
epec,nominal,0.85875,0.8425,0.016249999999999987,-0.003913254403121548,0.03641325440312152,2400,2400,2.2400000000000007,2.36,-0.11999999999999922,0.47040000000000004,0.49560000000000004,-0.0252
epec,seen,0.8003720238095238,0.730014880952381,0.07035714285714278,0.06584038992988057,0.074873895784405,67200,67200,2.439714285714286,2.5703928571428567,-0.13067857142857076,0.4761642857142856,0.5016642857142856,-0.025499999999999967
grid_worstcase,heldout,0.7918201754385965,0.7257236842105264,0.06609649122807015,0.06055969432509145,0.07163328813104886,45600,45600,2.2517894736842115,2.2517894736842115,0.0,0.48729999999999984,0.48729999999999984,0.0
grid_worstcase,nominal,0.85875,0.8158333333333333,0.042916666666666714,0.022068227379334136,0.06376510595399928,2400,2400,2.2400000000000007,2.2400000000000007,0.0,0.47040000000000004,0.47040000000000004,0.0
grid_worstcase,seen,0.8003720238095238,0.740297619047619,0.06007440476190473,0.055588360482767725,0.06456044904104175,67200,67200,2.439714285714286,2.439714285714286,0.0,0.4761642857142856,0.4761642857142856,0.0
human_effect_prior,heldout,0.7918201754385965,0.7394517543859649,0.05236842105263162,0.04688042226129481,0.05785641984396843,45600,45600,2.2517894736842115,1.9301052631578954,0.321684210526316,0.48729999999999984,0.4176894736842105,0.06961052631578935
human_effect_prior,nominal,0.85875,0.8604166666666667,-0.0016666666666667052,-0.02132367952208673,0.01799034618875332,2400,2400,2.2400000000000007,1.92,0.32000000000000073,0.47040000000000004,0.4032,0.06720000000000004
human_effect_prior,seen,0.8003720238095238,0.7205803571428572,0.0797916666666666,0.07524809085385006,0.08433524247948312,67200,67200,2.439714285714286,2.091178571428572,0.3485357142857137,0.4761642857142856,0.4081392857142857,0.06802499999999989
nominal,heldout,0.7918201754385965,0.7608552631578948,0.03096491228070175,0.02555972946556979,0.036370095095833714,45600,45600,2.2517894736842115,2.0105263157894737,0.24126315789473773,0.48729999999999984,0.43509473684210526,0.05220526315789459
nominal,nominal,0.85875,0.8716666666666667,-0.012916666666666687,-0.03223544415834944,0.006402110825016065,2400,2400,2.2400000000000007,2.0,0.24000000000000066,0.47040000000000004,0.42,0.050400000000000056
nominal,seen,0.8003720238095238,0.7566666666666667,0.04370535714285706,0.03927144780213537,0.048139266483578746,67200,67200,2.439714285714286,2.178321428571429,0.261392857142857,0.4761642857142856,0.4251428571428571,0.051021428571428495
oracle,heldout,0.7918201754385965,0.9069736842105263,-0.11515350877192976,-0.11973555377146604,-0.11057146377239348,45600,45600,2.2517894736842115,2.4126315789473676,-0.16084210526315612,0.48729999999999984,0.5221105263157892,-0.0348105263157894
oracle,nominal,0.85875,0.9254166666666667,-0.06666666666666665,-0.08412053256948898,-0.04921280076384433,2400,2400,2.2400000000000007,2.3999999999999995,-0.1599999999999988,0.47040000000000004,0.504,-0.03359999999999996
oracle,seen,0.8003720238095238,0.9099553571428571,-0.10958333333333337,-0.11330058244153642,-0.10586608422513032,67200,67200,2.439714285714286,2.614,-0.17428571428571393,0.4761642857142856,0.5101714285714284,-0.03400714285714279
random_tuning,heldout,0.7918201754385965,0.7176315789473684,0.07418859649122811,0.06862457222499045,0.07975262075746577,45600,45600,2.2517894736842115,2.171368421052632,0.08042105263157939,0.48729999999999984,0.4698999999999999,0.01739999999999997
random_tuning,nominal,0.85875,0.8216666666666667,0.03708333333333336,0.01637814215935658,0.05778852450731013,2400,2400,2.2400000000000007,2.1600000000000006,0.08000000000000007,0.47040000000000004,0.45359999999999984,0.016800000000000204
random_tuning,seen,0.8003720238095238,0.729375,0.07099702380952377,0.06647841103302114,0.0755156365860264,67200,67200,2.439714285714286,2.352607142857144,0.08710714285714216,0.4761642857142856,0.45914999999999984,0.01701428571428576
robust_control,heldout,0.7918201754385965,0.7141666666666666,0.07765350877192989,0.0720781693630052,0.08322884818085458,45600,45600,2.2517894736842115,2.7142105263157896,-0.4624210526315782,0.48729999999999984,0.5873736842105264,-0.10007368421052654
robust_control,nominal,0.85875,0.79375,0.06500000000000006,0.043641043886697144,0.08635895611330296,2400,2400,2.2400000000000007,2.7,-0.4599999999999995,0.47040000000000004,0.5670000000000001,-0.09660000000000002
robust_control,seen,0.8003720238095238,0.719375,0.08099702380952378,0.07645011311756605,0.08554393450148151,67200,67200,2.439714285714286,2.940714285714286,-0.5009999999999999,0.4761642857142856,0.5739464285714286,-0.09778214285714304
sysid_retune,heldout,0.7918201754385965,0.7292982456140351,0.0625219298245614,0.05699752088503621,0.06804633876408658,45600,45600,2.2517894736842115,2.211578947368421,0.040210526315790585,0.48729999999999984,0.4785999999999999,0.00869999999999993
sysid_retune,nominal,0.85875,0.8254166666666667,0.033333333333333326,0.012722151323497195,0.05394451534316946,2400,2400,2.2400000000000007,2.2,0.04000000000000048,0.47040000000000004,0.4620000000000001,0.008399999999999963
sysid_retune,seen,0.8003720238095238,0.7610714285714286,0.03930059523809515,0.03488141174868952,0.043719778727500776,67200,67200,2.439714285714286,2.3961428571428574,0.043571428571428594,0.4761642857142856,0.46765714285714277,0.008507142857142824
